Title,IMDB_ID,Subtitle,Status,Media Type,Year,Remarks
"""1968""",,,OTH,FILM,,"THE FILM STARTED OUT VERY NEGATIVE FOR THE ARMY. THE ARMY WANTED THEM TO MAKE CHANGES TO POSSIBLY APPROVE THE FILM. EVIDENTALLY, IT DIED, BECAUSE THE DEPARTMENT NEVER HEARD ANY STATUS REPORT."
"1,000 MEN AND A BABY",,,APP,TV,1997,VERY POSITIVE DEPICTION OF NAVY IN THIS KOREAN WAR ERA PERIOD MADE FOR TV MOVIE. APPROVED FILMING ABOARD AMPHIBIOUS CARRIER (AS JEEP CARRIER OF THE PERIOD).
1ST FORCE,,,OTH,FILM,,"INITIALLY DOD AND USMC WERE INCLINED TO SUPPORT. HOWEVER, PRODUCER NEVER RESPONDED TO REPEATED REQUESTS FOR UPDATES REGARDING THE PRODUCTION. FILM NOT PRODUCED. NO FILE EXISTS."
24,,22,APP,TV,2004,"APPROVED FILMING FOR ONE DAY WITH TWO MARINE CORPS F/A-18 AIRCRAFT TO SIMUIATE ATTACKING AND DESTROYING A TERRORIST HELICOPTER THAT WAS THREATENING THE MAIN CHARACTER, FEDERAL AGENT JACK BAUER (PLAYED BY KEIFER SUTHERLAND)."
3RD DEGREE,,,APP,TV,1989,PERSONNEL APPEARED ON THIS GAME SHOW AT THE EXPENSE OF THE PRODUCTION CO. NO FILE EXISTS
50/50,tt1306980,,DEN,FILM,,NEVER WAS OFFICIALLY SUBMITTED TO DOD. IT WAS STOPPED BEFORE IT GOT TO THE DEPARTMENT NO REASON FOR SUPPORT WAS EVER FORTHCOMING. NO FILE EKISTS
55 DAYS AT PEKING,tt0056800,,OTH,FILM,1963,PERIOD PIECE ABOUT MARINES IN CHINA DURING THE BOXER REBELLION
84 CHARLIE MOPIC,tt0096744,,OTH,FILM,1989,VIETNAM MOVIE ABOUT MOTION PICTURE CORRESPONDENTS. ASSISTANCE NOT REQUESTED.
A FEW GOOD MEN,tt0104257,,LIM,FILM,1992,"INACCURATE, NEGATIVE PORTRAVALS OF MARINES. PRODUCER/WRTTER DID MAKE SOME SCRIPT CHANGES, SO WE LET THEM USE NAS PT MUGU FOR A MINOR SCENE. PROBLEM CENTERED ON DECORATED, SENIOR MARINE COMMANDING OFFICER WHOSE INAPPROPRIATE LEADERSHIP STYLE RESULTED IN THE DEATH OF AN UNPOPULAR MARINE ENLISTED MAN. THE C.O. THEN TRIES TO COVER UP THE INCIDENT. BASED ON A TRUE STORY, BUT FULL OF INACCURACIES IN THE DRAMATIZED VERSION."
A MIDNIGHT CLEAR,tt0102443,,DEN,FILM,1992,"DECLINED ASSISTANCE (REQUEST FOR WW II FACILITIES IN UTAH} DUE TO COMPLETELY NEGATIVE, NIHILISTIC DEPICTION OF MILITARY PERSONNEL AND OPERATIONS. ALSO PROVIDING FACILITIES WOULD HAVE COMPETED WITH PRIVATE INDUSTRY"
A MORAL ISSUE,,,DEN,FILM,,"THERE ARE NO RECORDS OF DOD EVER APPROVING THE FILM. THE FILM WAS NEVER PRODUCED, SOEVIDENTALLY IF ANY RESPONSE WAS GIVEN, IT WAS NO"
ABOVE AND BEYOND,tt0044324,,APP,FILM,1953,"STORY OF PAUL TIBBETTS AND THE ATOMIC BOMB MISSION OVER HIROSHIMA. FULL COOPERATION IN THE FORM OF B-295, MEN, AND LOCATIONS"
ABOVE THE CLOUDS,tt0024811,,APP,FILM,1934,"NAVY PROVIDED USE OF BATTLESHIPS, SUBMARINES, AND A DIRIGBILE AS BACKGROUND FOR PEACETIME STORY"
ACE OF ACES,tt0023737,,APP,FILM,1933,ARMY AIR CORPS PROVIDED PL ANES TO STAGE AERIAL COMBAT SEQUENCES FOR WORLD WAR I FILM SET IN FRANCE
ACTION IN THE NORTH ATLANTIC,tt0035608,,APP,FILM,1943,NAVY AND MERCHANT MARINES PROVIDED USE OF SHIP AND MEN FOR STORY OF NAVY GUNNERS ABOARD A MERCHANT SHIP IN THE NORTH ATLANTIC DURING WORLD WAR II.
ADVENTURES OF MARY-KATE & ASHLEY,,THE CASE OF THE UNITED STATES NAVY ADVENTURE,APP,OTH,1994,"PRODUCTION COMPANY REQUESTED USE OF NAVY INSTALLATIONS AND SHIP IN PEARL HARBOR, HI. AFTER SUCCESSFUL NEGOTIATIONS TO IMPROVE ACCURACY AND POSITIVE ASPECT OF SCRIPT, OK'D ASSISTANCE. NO FILE EXISTS."
AERIAL GUNNER,tt0035614,,APP,FILM,1943,ARMY AIR CORPS PROVIDED ACCESS TO THE HARLINGEN AERIAL GUNNERY SCHOOL FOR FILMMAKERS TO SHOW HOW IT TRAINED BOMBER GUNNERS AND IT ALSO PROVIDED PLANES TO STAGE MISSION AGAINST JAPANESE IN SOUTH PACIFIC.
AFTERBURN: THE JANET HARDUVEL STORY,,,DEN,TV,,THE DEPARTMENT OF THE AIR FORCE AND DOD DECIDED NOT TO SUPPORT THE FILM BECAUSE OF INACCURACIES AND PREMISES THAT SERVICE COVERED UP REASONS FOR CRASH OF F-16 IN KOREA. HBO CABLE MOVIE
AFTERMATH,,,APP,TV,,THE DEPARTMENT OF THE AIR FORCE AND THE NATIONAL GUARD BUREAU APPROVED LIMITED ASSISTANCE. IN THE BEST INTEREST OF THE DEPARTMENT.
AIR CADET,tt0043270,,APP,FILM,1951,"AIR FORCE CADETS LEARNING TO BECOME FIGHTER PILOTS IN WORLD WAR II. FULL COOPERATION OF PLANES, EQUIPMENT, AND LOCALES"
AIR DEVILS,tt0029847,,APP,FILM,1938,MARINES PROVIDED ROUTINE ASSISTANCE IN THE FORM OF MEN AND PLANES FOR TYPICAL STORY OF FLIERS PURSUING THE SAME GIRL DURING PEACETIME
AIR FORCE,tt0035616,,APP,FILM,1943,"ARMY AIR CORPS PROVIDED FULL ASSISTANCE AT AN AIR BASE NEAR TAMPA FOR FILM ABOUT THE MARY ANNE ARRIVED IN PEARL HARBOR ON DECEMBER 7. HAP ARNOLD PROVIDED THE TECHNICAL ADVISOR WITH A CARD HE SHOWED WHEN HE NEEDED TO USE BOMBERS AND FIGHTERS. FILM MADE IN FLORIDA TO AVOID HAVING PLANES WITH JAPANESE INSIGNIA FLYING OVER SOUTHERN CALIFORNA. THE CLIMACTIC BATTLE, OFTEN DESCRIBED AS MIDWAY, WAS FILMED AT THE WARNER BROTHERS ""SEA"" USING MINATURES IN FEBRUARY, 1942"
AIR FORCE ONE,tt0118571,,APP,FILM,1997,AIR FORCE PROVIDED FULL COOPERATION FOR FILM IN WHICH RUSSIAN TERRORISTS KIDNAP AIR FORCE ONE AND HOLD THE PRESIDENT HOSTAGE. USE OF FIGHTERS AND TRANSPORTS FOR AMBIANCE
AIR WOLF ,,ESCAPE,DEN,TV,1984,AIR FORCE ADVISED PRODUCTION THAT ASSISTANCE WOULD BE INAPPROPRIATE. BASICALLY STORY DEALT WITH COMMERCIAL AIRLINER. REQUEST FOR ASSISTANCE WAS DENIED. 
AIRPORT 75,tt0071110,,APP,FILM,1974,"AIR FORCE PROVIDED USF OF A HELICOPTER IN SEQUENCE WHERE CHARLTON HESTON IS DROPPED INTO DAMAGED 747, BUT ONLY AFTER THE SERVICE ASCERTAINED THAT ITS HELICOPTER COULD ACTUALLY MATCH THE SPEED OF A 747"
AIRPORT 77,tt0075648,,APP,FILM,1977,NAVY PROVIDED FULL COOPERATION IN THE FORM OF A SEARCH AND RESCUE UNIT AND UNDERWATER RESCUE VEHCILES FOR A TYPICAL DISASTER MOVIE ABOUT THE CRASH OF A PRIVATE 747 CARRYING PRICELESS ART TREASURES. THE SERVICE FELT THE FILM HIGHLIGHTED ITS UNDERWATER RESCUE CAPABILITIES.
"AIRPOWER VIETNAM, THE REAP TOP GUN",,,APP,TV,,"THE REQUEST FOR FILMING ON LUKE AFB WAS GRANTED, AS LONG AS THE PRODUCTION WAS AWARE OF THE REQUIREMENTS FOR HOLD HARMLESS AGREEMENTS AND APPROPIATE INSURANCE. NO FILE."
ALL HANDS ON DECK,tt0054613,,APP,FILM,1961,NAVY PROVIDED USE OF LOCATIONS AND A SHIP FOR THIS COMEDY SET IN WORLD WAR II
ALL THE UNSUNG HEROES,,,APP,TV,1991,DOD APPROVED FOR STOCK FOOTAGE. THIS VIDEO WAS GOOD RECRUITMENT FOR THE VIETNAM-AMERICAN FIGHTING FORCE AND HISTORICALLY ACCURATE
ALL THE YOUNG MEN,tt0053583,,APP,FILM,1960,MARINES PROVIDED MEN AND EQUIPMENT FOR COMBAT SEQUENCES IN MOVIE SET IN KOREAN WAR
ALL-STAR SALUTE TO OUR TROOPS,,TRIBUTE TO OUR TROOPS,APP,TV,1991,"THE DEPARTMENT OF DEFENSE APPROVED THE PROJECT FINDING IT TO BE A GOOD THING FOR THE TROOPS. VERY POSITIVE PROJECT THE DEPARTMENT ASSISTED WITH INFORMATION AND USING ANDREW'S AFB AS RETURNING DESTINATION,"
ALOHA,tt1243974,,DEN,FILM,2015,Approved access to former housing area at Joint Base Pearl Harbor-Hickam AFB
AMAZING GRACE AND CHUCK,tt0092545,,DEN,FILM,1987,"STORY DOES NOT ACCURATELY PORTRAY U.S. EFFORTS TO MAINTAIN NUCLEAR DETERRENCE, TO SEEK ARMS REDUCTIONS, AND TO KEEP THE PEACE. ASSISTANCE DENIED. NO FILE"
AMBUSH BAY,tt0060098,,APP,FILM,1966,MARINES PROVIDED TYPICAL ASSISTANCE OF MEN AND EQUIPMENT FOR WORLD WAR II MOVIE
AMELIA EARHART: THE FINAL FLIGHT,,,OTH,TV,1994,PRODUCER REQUESTED USE OF PRESIDIO'S HAMILTON AIR FIELD FOR REENACTMENT OF A LANDING IN THIS DOCUDRAMA. NOT AVAILABLE DUE TO TRANSITION TO PRIVATE SECTOR. NEGOTIATED AGREEMENTS REGARDING SCRIPT (MINOR) BLFT PRODUCER ULTIMATELY DECIDED TO USE CIVILIAN FACILITIES. NO FILE.
AMERICA,tt0014672,,APP,FILM,1924,"FILM WAS D.W. GRIFFITH'S ATTEMPT TO DO FOR THE AMERICAN REVOLUTION WHAT BIRTH OF A NATION DID FOR THE CIVIL WAR AND RECONSTRUCTION. ARMY PROVIDED A CALVARY UNIT, MEN, AND SUPPORT EQUIPMENT ON THEORY THAT ITS OFFICERS COULD STUDY TACTICS USED TO FIGHT THE REVOLUTION."
"AMERICA, YOU'RE TOO YOUNG TO DIE",,,APP,TV,1986,LIMITED ASSISTANCE WAS APPROVED. IT WAS NO COST TO THE GOVERNMENT. NO FILE.
AMERICAN GUERRILLA IN THE PHILIPPINES,tt0042195,,LIM,FILM,1950,NAVY PROVIDED A SHIP FOR A BRIEF SEQUENCE AT THE END OF THE FILM WHEN HERO IS RESCUED FROM HIDING PLACE.
"AMERICAN PRESIDENT, THE",tt0112346,,APP,FILM,1995,"PRODUCTION COMPANY REQUESTED MARINE MUSICIANS TO PORTRAY MARINE BAND, TECHNICAL ASSISTANCE, EXTRAS, TO ENACT WHITE HOUSE SOCIAL FUNCTIONS AND TO ASSURE THAT OTHER MILITARY PORTRAYALS ARE REASONABLY POSITIVE AND ACCURATE."
AMERICANIZATION OF EMILY,tt0057840,,OTH,FILM,1964,"FIRST AMERICAN MOVIE TO SHOW A MILITARY MAN AS A PROFESSED COWARD AND PROUD OF IT. JAMES GARNER IS A ""GO-FER' FOR HIS ADMIRAL IN THE WEEKS BEFORE D-DAY. THE ADMIRAL DECIDES THE FIRST DEAD AMERICAN ON OMAHA BEACH SHOULD BE A NAVY MAN. GARNER ULTIMATELY BECOMES A HERO AND EMILY APPROVES, THUS THE TITLE. NO RECORD OF COMPANY SEEKING COOPERATION GIVEN THE PORTRAYAL. HOWEVER, FILM IS IMPORTANT SINCE IT CONTAINED ANTI-WAR ARGUMENTS AS VIETNAM WAS HEATING UP."
AN OFFICER AND A GENTLEMAN,tt0084434,,DEN,FILM,1982,"THE NAVY DECLINED BECAUSE OF DAMAGING PORTRAYAL OF NAVY SINGLE PARENT LIFESTYLE, NEGATIVE PORTRAYAL OF WOMEN LIVING AROUND AIR STATION, AND A FIGHT BETWEEN OFFICER CANDIDATE AND DRILL INSTRUCTOR. FILMMAKERS WOULDN'T CHANGE THESE SCENES, SO ASSISTANCE BECAME IMPOSSIBLE. MARINES OFFERED TO COOPERATE, BUT PRODUCER DID NOT HAVE TIME. STILL, MARIN ES PROVIDED A DI. AS TECHNICAL ADVISOR AND OFF~DUTY MARINES AS EX TRAS"
ANCHORS AWAY,tt0037514,,LIM,FILM,1945,"NAVY PROVIDED LOCATIONS AND SHIPS AS BACKGROUND FOR END OF THE WAR SONG AND DANCE COMEDY, I.E., LEAD CHARACTERS ARE IN THE NAVY"
ANGEL IN GREEN,,,DEN,TV,1987,THE SCRIPT WAS NEVER APPROVED BY THE DEPARTMENT OF DEFENSE. NO FILE.
ANGEL‘S FLIGHT,,,APP,FILM,,"APPROVED BY THE DEPARTMENT AFTER BEING REVIEWED. THE DEPARTMENT FELT IT WOULD BE BENEFICIAL TO THE NAVY. NO FILE, NO RECORD FILM EVER PRODUCED."
ANNAPOLIS FAREWELL,tt0026072,,APP,FILM,1935,NAVY GRANTED ACCESS TO THE NAVAL ACADEMY GROUNDS AND MIDSHIPMEN AS BACKGROUND FOR TYPICAL SERVICE ACADEMY FILM.
ANNAPOLIS SALUTE,tt0028578,,APP,FILM,1937,NAVY GRANTED ACCESS TO THE NAVAL ACADEMY GROUNDS AND MIDSHIPMEN AS BACKGROUND FOR TYPICAL SERVICE ACADEMY FILM.
ANNAPOLIS STORY,tt0047835,,APP,FILM,1955,"NAVY PROVIDED FULL COOPERATION. NOT REALLY ABOUT ANNAPOLIS, BUT ABOUT CARRIER WARFARE DURING THE KOREAN WAR. A FEW SCENES TAKE PLACE AT ANNAPOLIS AND SOME DURING FLIGHT SCHOOL AT PENSACOLA."
ANTWONE FISHER,tt0168786,THE ANTWONE FISHER STORY,APP,FILM,2002,"AFTER THE NAVY WORKED ON SCRIPT NEGOTIATIONS FOR MONTHS, MAINLY ON CHARACTER ISSUES SUCH AS EXCESSIVE PROFANITY, THE FORMAL REQUEST CAME IN. FILMING ASSISTANCE CONSISTED OF FILMING FOR SEVERAL DAYS IN PORT AND AT SEA (SECOND UNIT) ON AN AMPHIBIOUS SHIP HOMEPORTED IN SAN DIEGO, CA, AND ALSO FILMING AT NAVAL STATION, NAVAL AIR STATION, AND BALBOA NAVAL HOSPITAL FOR SEVERAL DAYS AT EACH LOCATION, ALL IN THE SAN DIEGO AREA."
ANZIO,tt0062673,,APP,FILM,1968,TYPICAL ARMY SUPPORT FOR WORLD WAR II STORY SET IN FAMOUS ASSAULT.
APOCALYPSE NOW,tt0078788,,DEN,FILM,1979,"COPPOLA CAME INTO PENTAGON WITH SCRIPT WHICH HE SAID HAD NO ENDING YET BUT WANTED HELP. SINCE SCRIPT CALLED FOR ""TERMINATION"" OF ONE OFFICER BY ANOTHER, ARMY ALWAYS REFUSED TO CONSIDER ASSISTANCE. DESPITE SUBSEOUENT EFFORTS, DOD DID NOT ANSWER TELEGRAM TO PRESIDENT CARTER WHICH MARKED END OF COMMUNICATIONS ON FILM. ORIGINAL DOD FILE HAS DISAPPEARED. ENTIRE FILE WAS COPIED AND NOW AT GEORGETOWN UNIVERSITY LIBRARY."
APOLLO 13,tt0112384,AKA LOST MOON,APP,FILM,1995,"REQUESTED USE OF NAVY SHIP, ETC, TO REENACT CAPSULE RECOVERY AT END OF MISSION. ENTIRELY ACCURATE AND POSITIVE DEPICTIONS ALL AROUND."
ARMAGEDDON,tt0120591,,APP,FILM,1998,"PRODUCTION COMPANY ACCOMMODATED CONCERNS ABOUT DEPICTION OF JCS, CHAIRMAN & MILITARY ASTRONAUTS. APPROVED USE OF USAF LOCATIONS, HELICOPTER."
ARMORED COMMAND,tt0054636,,APP,FILM,1961,ARMY PROVIDED MEN AND EQUIPMENT FOR WORLD WAR II STORY
