Title,IMDB_ID,Subtitle,Status,Media Type,Remarks,Year,genre,runtime,director,plot,award,imdb_rating,release_date,directors
"""1968""",Never Made,,OTH,FILM,"THE FILM STARTED OUT VERY NEGATIVE FOR THE ARMY. THE ARMY WANTED THEM TO MAKE CHANGES TO POSSIBLY APPROVE THE FILM. EVIDENTALY, IT DIED, BECAUSE THE DEPARTMENT NEVER HEARD ANY STATUS REPORT.",,,,,,,,,
"1,000 MEN AND A BABY",tt0133231,,APP,TV,VERY POSITIVE DEPICTION OF NAVY IN THIS KOREAN WAR ERA PERIOD MADE FOR TV MOVIE. APPROVED FILMING ABOARD AMPHIBIOUS CARRIER (AS JEEP CARRIER OF THE PERIOD).,1997,Drama,96 min,Marcus Cole,A baby in a foreign land is adopted by the men on a U.S. Navy ship and brought to America.,,6.9,07 Dec 1997,nm0170680
1ST FORCE,Never Made,,OTH,FILM,"INITIALLY DOD AND USMC WERE INCLINED TO SUPPORT. HOWEVER, PRODUCER NEVER RESPONDED TO REPEATED REQUESTS FOR UPDATES REGARDING THE PRODUCTION. FILM NOT PRODUCED.",,,,,,,,,
24,tt0502209,22,APP,TV,"APPROVED FILMING FOR ONE DAY WITH TWO MARINE CORPS F/A-18 AIRCRAFT TO SIMULATE ATTACKING AND DESTROYING A TERRORIST HELICOPTER THAT WAS THREATENING THE MAIN CHARACTER, FEDERAL AGENT JACK BAUER (PLAYED BY KEIFER SUTHERLAND).",2004,"Action, Crime, Drama, Thriller",42 min,Frederick King Keller,Jack and Tony clash as they wait for the time of hostage exchange with Saunders. Senator Keeler confronts President Palmer about the Milliken cover-up while Wayne initiates a secret operation against Sherry.,,9.0,11 May 2004,nm0445631
3RD DEGREE,tt0098469,,APP,TV,PERSONNEL APPEARED ON THIS GAME SHOW AT THE EXPENSE OF THE PRODUCTION CO. ,1989,"Crime, Drama, Thriller",100 min,Roger Spottiswoode,Scott Weston is a private investigator who is supposedly hired by a rich businessman to determine whether or not his beautiful wife is fooling around behind his back. During the course of his investigation Weston begins his own steamy affair with the wife. The husband then turns up dead and Weston becomes a prime suspect. Did he do it? Has he been set up? Or is he the victim of a third degree burn?,,5.7,28 May 1989,nm0006854
50/50,tt1306980,,DEN,FILM,NEVER WAS OFFICIALLY SUBMITTED TO DOD. IT WAS STOPPED BEFORE IT GOT TO THE DEPARTMENT NO REASON FOR SUPPORT WAS EVER FORTHCOMING. ,2011,"Comedy, Drama, Romance",100 min,Jonathan Levine,"Adam is a 27 year old writer of radio programs and is diagnosed with a rare form of spinal cancer. With the help of his best friend, his mother, and a young therapist at the cancer center, Adam learns what and who the most important things in his life are.",Nominated for 2 Golden Globes. Another 12 wins & 26 nominations.,7.6,30 Sep 2011,nm1349522
55 DAYS AT PEKING,tt0056800,,OTH,FILM,PERIOD PIECE ABOUT MARINES IN CHINA DURING THE BOXER REBELLION,1963,"Action, Adventure, Drama, History, War",154 min,"Nicholas Ray, Guy Green, Andrew Marton","Diplomats, soldiers and other representatives of a dozen nations fend off the siege of the International Compound in Peking during the 1900 Boxer Rebellion. The disparate interests unite for survival despite competing factions, overwhelming odds, delayed relief and tacit support of the Boxers by the Empress of China and her generals.",Nominated for 2 Oscars. Another 3 nominations.,6.7,06 May 1963,"nm0337885,nm0712947"
84 CHARLIE MOPIC,tt0096744,,OTH,FILM,VIETNAM MOVIE ABOUT MOTION PICTURE CORRESPONDENTS. ASSISTANCE NOT REQUESTED. FILM ABOUT ARMY COMBAT CAMERAMEN WHO GO INTO FIELD TO FILM A SPECIAL RECON MISSION. NO REQUEST FOR HELP SINCE FILMED IN SOUTHEAST ASIA. ,1989,"Drama, War",95 min,Patrick Sheane Duncan,Impressive performance by unknown actors in this low-budget Vietnam drama. The story is being told in the form of a documentary; a camera team follows an Army unit in pursuit of 'Charlie'. Filmed in Southern California. The movie's producing company itself is called '84 Charlie MoPic'.,3 nominations.,6.8,07 Apr 1989,nm0242059
A FEW GOOD MEN,tt0104257,,LIM,FILM,"INACCURATE, NEGATIVE PORTRAVALS OF MARINES. PRODUCER/WRITER DID MAKE SOME SCRIPT CHANGES, SO WE LET THEM USE NAS PT MUGU FOR A MINOR SCENE. PROBLEM CENTERED ON DECORATED, SENIOR MARINE COMMANDING OFFICER WHOSE INAPPROPRIATE LEADERSHIP STYLE RESULTED IN THE DEATH OF AN UNPOPULAR MARINE ENLISTED MAN. THE C.O. THEN TRIES TO COVER UP THE INCIDENT. BASED ON A TRUE STORY, BUT FULL OF INACCURACIES IN THE DRAMATIZED VERSION.",1992,"Drama, Thriller",138 min,Rob Reiner,"In this dramatic courtroom thriller, LT Daniel Kaffee, a Navy lawyer who has never seen the inside of the courtroom, defends two stubborn Marines who have been accused of murdering a colleague. Kaffee is known as being lazy and had arranged for a plea bargain. Downey's Aunt Ginny appoints Cmdr. Galloway to represent him. Also on the legal staff is LTJG Sam Weinberg. The team rounds up many facts and Kaffee is discovering that he is really cut out for trial work. The defense is originally based upon the fact that PFC Santiago, the victim, was given a ""CODE RED"". Santiago was basically a screw-up. At Gitmo, screw-ups aren't tolerated. Especially by Col. Nathan Jessup. In Cuba, Jessup and two senior officers try to give all the help they can, but Kaffee knows something's fishy. In the conclusion of the film, the fireworks are set off by a confrontation between Jessup and Kaffee.",Nominated for 4 Oscars. Another 10 wins & 26 nominations.,7.7,11 Dec 1992,nm0001661
A MIDNIGHT CLEAR,tt0102443,,DEN,FILM,"DECLINED ASSISTANCE (REQUEST FOR WW II FACILITIES IN UTAH} DUE TO COMPLETELY NEGATIVE, NIHILISTIC DEPICTION OF MILITARY PERSONNEL AND OPERATIONS. ALSO PROVIDING FACILITIES WOULD HAVE COMPETED WITH PRIVATE INDUSTRY",1992,"Drama, War",108 min,Keith Gordon,"Set in 1944 France, in the Ardennes forest region, an American Intelligence Squad locates a German platoon wishing to surrender rather than die in Germany's final war offensive. The two groups of men, isolated from the war at present, put aside their differences and share a Christmas celebration. The surrender plan includes a mock battle that turns bad when one of the soldiers is unaware of the surrender plan.",1 nomination.,7.1,24 Apr 1992,nm0330360
