,idmb_id,Remarks,SentimentScore Military,OverallSentiment Military,SentimentScore Army,OverallSentiment Army,SentimentScore AirForce,OverallSentiment AirForce,SentimentScore Navy,OverallSentiment Navy,SentimentScore War,OverallSentiment War,SentimentScore Marine,OverallSentiment Marine
0,tt0133231,very positive depiction of navy in this korean war era period made for tv movie. approved filming aboard amphibious carrier as jeep carrier of the period.,"[0.033737924, 0.012671953, 0.9535901]",2,"[0.53669375, 0.1052633, 0.35804293]",0,"[0.1463444, 0.0390576, 0.814598]",2,"[0.0011046579, 0.0010736948, 0.9978217]",2,"[0.3533783, 0.029757518, 0.6168642]",2,"[0.17877436, 0.05058541, 0.7706402]",2
1,tt0502209,"approved filming for one day with two marine corps fa 18 aircraft to simulate attacking and destroying a terrorist helicopter that was threatening the main character, federal agent jack bauer played by keifer sutherland.","[0.614046, 0.3700727, 0.01588135]",0,"[0.51786757, 0.4677919, 0.014340473]",0,"[0.766932, 0.20523123, 0.027836727]",0,"[0.6297101, 0.34833378, 0.021956166]",0,"[0.8480284, 0.14371513, 0.008256434]",0,"[0.9155703, 0.07322554, 0.0112041]",0
2,tt0098469,personnel appeared on this game show at the expense of the production co. ,"[0.6630817, 0.3215135, 0.015404791]",0,"[0.47226423, 0.5092718, 0.018463979]",1,"[0.5330509, 0.43832964, 0.028619487]",0,"[0.46854413, 0.5051085, 0.026347453]",1,"[0.90173954, 0.088281155, 0.009979328]",0,"[0.7273654, 0.252503, 0.020131595]",0
3,tt1306980,never was officially submitted to dod. it was stopped before it got to the department no reason for support was ever forthcoming. ,"[0.19076985, 0.7911066, 0.018123552]",1,"[0.17626351, 0.799198, 0.024538543]",1,"[0.26491812, 0.642714, 0.09236792]",1,"[0.22457641, 0.7325068, 0.042916782]",1,"[0.718422, 0.24958774, 0.03199026]",0,"[0.23994833, 0.72433126, 0.035720423]",1
4,tt0056800,period piece about marines in china during the boxer rebellion,"[0.5292103, 0.088117495, 0.38267222]",0,"[0.6556032, 0.27602398, 0.0683729]",0,"[0.5638097, 0.25508344, 0.18110687]",0,"[0.5848432, 0.186535, 0.22862181]",0,"[0.7384205, 0.023652969, 0.23792654]",0,"[0.4501792, 0.021659119, 0.5281617]",2
5,tt0096744,vietnam movie about motion picture correspondents. assistance not requested. film about army combat cameramen who go into field to film a special recon mission. no request for help since filmed in southeast asia. ,"[0.23997542, 0.7467909, 0.013233688]",1,"[0.5363683, 0.43948317, 0.024148552]",0,"[0.26373464, 0.72059643, 0.015668927]",1,"[0.19070804, 0.8000632, 0.009228855]",1,"[0.8457712, 0.14291362, 0.011315197]",0,"[0.27783152, 0.71027327, 0.011895224]",1
6,tt0104257,"inaccurate, negative portravals of marines. producer or writer did make some script changes, so we let them use nas pt mugu for a minor scene. problem centered on decorated, senior marine commanding officer whose inappropriate leadership style resulted in the death of an unpopular marine enlisted man. the c.o. then tries to cover up the incident. based on a true story, but full of inaccuracies in the dramatized version.","[0.08852577, 0.872129, 0.039345227]",1,"[0.08156259, 0.8999458, 0.018491581]",1,"[0.09987361, 0.85082734, 0.049299054]",1,"[0.07397411, 0.8895953, 0.036430534]",1,"[0.19232665, 0.77973217, 0.02794116]",1,"[0.0696877, 0.8809676, 0.04934463]",1
7,tt0102443,"declined assistance request for ww ii facilities in utah due to completely negative, nihilistic depiction of military personnel and operations. also providing facilities would have competed with private industry","[0.009124383, 0.93233544, 0.05854016]",1,"[0.14380728, 0.7701682, 0.08602452]",1,"[0.100275055, 0.8249861, 0.07473884]",1,"[0.09728851, 0.8533812, 0.0493302]",1,"[0.39616632, 0.52277, 0.08106369]",1,"[0.079885095, 0.8688655, 0.05124934]",1
8,tt0044324,"story of paul tibbetts and the atomic bomb mission over hiroshima. full cooperation in the form of b, men, and locations","[0.23547544, 0.0078535965, 0.75667095]",2,"[0.6369685, 0.02387, 0.33916152]",0,"[0.21303791, 0.0211474, 0.76581466]",2,"[0.1447436, 0.010465682, 0.8447907]",2,"[0.45633247, 0.012126148, 0.5315414]",2,"[0.16415277, 0.010375198, 0.82547206]",2
9,tt0023737,army air corps provided planes to stage aerial combat sequences for world war i film set in france,"[0.092991315, 0.007947884, 0.89906085]",2,"[0.11762654, 0.009246636, 0.87312686]",2,"[0.106285386, 0.010495747, 0.8832189]",2,"[0.23900007, 0.023440398, 0.73755956]",2,"[0.9324001, 0.032272324, 0.03532753]",0,"[0.03575325, 0.003695344, 0.96055144]",2
